Info 132  [18:5:37.760] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 37 structureChanged: false Elapsed: 5ms
Info 133  [18:5:37.760] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 134  [18:5:38.123] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 135  [18:5:38.127] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 38 structureChanged: false Elapsed: 4ms
Info 136  [18:5:38.127] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 137  [18:5:47.160] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 138  [18:5:47.167] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 39 structureChanged: false Elapsed: 7ms
Info 139  [18:5:47.167] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 140  [18:6:0.726] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 141  [18:6:0.731] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 40 structureChanged: false Elapsed: 5ms
Info 142  [18:6:0.731] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 143  [18:6:1.198] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 144  [18:6:1.203] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 41 structureChanged: false Elapsed: 5ms
Info 145  [18:6:1.203] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 146  [18:6:2.544] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 147  [18:6:2.548] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 42 structureChanged: false Elapsed: 4ms
Info 148  [18:6:2.548] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 149  [18:6:8.698] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 150  [18:6:8.702] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 43 structureChanged: false Elapsed: 4ms
Info 151  [18:6:8.702] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 152  [18:6:9.599] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
